Inclusion,Model,Story Condition,Condition,Blame First Vignette,Blame All Vignettes
Included,claude-sonnet-4-6,Pooled,CC Proximate,,7.51
Included,claude-sonnet-4-6,Pooled,CH Distal,7.28,6.93
Included,claude-sonnet-4-6,Pooled,DIV Distal,5.53,6.25
Included,claude-sonnet-4-6,Pooled,CC Distal,6.0,6.05
Included,claude-sonnet-4-6,Pooled,CH Proximate,,1.27
Included,claude-sonnet-4-6,Firework,CC Proximate,,8.83
Included,claude-sonnet-4-6,Firework,CH Distal,8.0,8.17
Included,claude-sonnet-4-6,Firework,DIV Distal,7.0,8.67
Included,claude-sonnet-4-6,Firework,CC Distal,,8.83
Included,claude-sonnet-4-6,Firework,CH Proximate,,3.0
Included,claude-sonnet-4-6,Trolley,CC Proximate,,7.36
Included,claude-sonnet-4-6,Trolley,CH Distal,7.0,6.79
Included,claude-sonnet-4-6,Trolley,DIV Distal,5.43,5.98
Included,claude-sonnet-4-6,Trolley,CC Distal,6.0,5.74
Included,claude-sonnet-4-6,Trolley,CH Proximate,,1.08
Included,gemini-2.5-flash,Pooled,CC Proximate,,8.65
Included,gemini-2.5-flash,Pooled,CH Distal,8.2,8.25
Included,gemini-2.5-flash,Pooled,DIV Distal,7.79,7.83
Included,gemini-2.5-flash,Pooled,CC Distal,7.61,7.82
Included,gemini-2.5-flash,Pooled,CH Proximate,,1.51
Included,gemini-2.5-flash,Firework,CC Proximate,,8.92
Included,gemini-2.5-flash,Firework,CH Distal,8.62,8.77
Included,gemini-2.5-flash,Firework,DIV Distal,8.14,8.44
Included,gemini-2.5-flash,Firework,CC Distal,8.1,8.33
Included,gemini-2.5-flash,Firework,CH Proximate,,2.21
Included,gemini-2.5-flash,Trolley,CC Proximate,,8.45
Included,gemini-2.5-flash,Trolley,CH Distal,8.0,7.87
Included,gemini-2.5-flash,Trolley,DIV Distal,7.23,7.38
Included,gemini-2.5-flash,Trolley,CC Distal,7.39,7.43
Included,gemini-2.5-flash,Trolley,CH Proximate,,1.0
Included,gpt-4o,Pooled,CC Proximate,,8.36
Included,gpt-4o,Pooled,CH Distal,7.76,7.49
Included,gpt-4o,Pooled,DIV Distal,6.95,7.39
Included,gpt-4o,Pooled,CC Distal,6.57,6.83
Included,gpt-4o,Pooled,CH Proximate,,2.27
Included,gpt-4o,Firework,CC Proximate,,9.0
Included,gpt-4o,Firework,CH Distal,8.0,8.58
Included,gpt-4o,Firework,DIV Distal,7.92,8.58
Included,gpt-4o,Firework,CC Distal,7.54,7.89
Included,gpt-4o,Firework,CH Proximate,,2.42
Included,gpt-4o,Trolley,CC Proximate,,7.68
Included,gpt-4o,Trolley,CH Distal,7.5,6.32
Included,gpt-4o,Trolley,DIV Distal,5.67,6.12
Included,gpt-4o,Trolley,CC Distal,5.73,5.71
Included,gpt-4o,Trolley,CH Proximate,,2.12
Included,grok-3,Pooled,CC Proximate,,7.88
Included,grok-3,Pooled,CH Distal,7.06,7.11
Included,grok-3,Pooled,DIV Distal,6.69,6.73
Included,grok-3,Pooled,CC Distal,7.0,6.59
Included,grok-3,Pooled,CH Proximate,,1.8
Included,grok-3,Firework,CC Proximate,,8.73
Included,grok-3,Firework,CH Distal,7.25,7.85
Included,grok-3,Firework,DIV Distal,7.22,7.61
Included,grok-3,Firework,CC Distal,7.0,7.06
Included,grok-3,Firework,CH Proximate,,3.0
Included,grok-3,Trolley,CC Proximate,,7.31
Included,grok-3,Trolley,CH Distal,7.0,6.61
Included,grok-3,Trolley,DIV Distal,6.12,6.14
Included,grok-3,Trolley,CC Distal,7.0,6.27
Included,grok-3,Trolley,CH Proximate,,1.0
Everyone,claude-sonnet-4-6,Pooled,CC Proximate,,8.15
Everyone,claude-sonnet-4-6,Pooled,CH Distal,7.63,7.58
Everyone,claude-sonnet-4-6,Pooled,DIV Distal,6.24,7.02
Everyone,claude-sonnet-4-6,Pooled,CC Distal,6.67,7.02
Everyone,claude-sonnet-4-6,Pooled,CH Proximate,,2.01
Everyone,claude-sonnet-4-6,Firework,CC Proximate,,8.98
Everyone,claude-sonnet-4-6,Firework,CH Distal,8.0,8.42
Everyone,claude-sonnet-4-6,Firework,DIV Distal,7.0,8.12
Everyone,claude-sonnet-4-6,Firework,CC Distal,8.0,8.38
Everyone,claude-sonnet-4-6,Firework,CH Proximate,,3.0
Everyone,claude-sonnet-4-6,Trolley,CC Proximate,,7.36
Everyone,claude-sonnet-4-6,Trolley,CH Distal,7.0,6.79
Everyone,claude-sonnet-4-6,Trolley,DIV Distal,5.43,5.98
Everyone,claude-sonnet-4-6,Trolley,CC Distal,6.0,5.74
Everyone,claude-sonnet-4-6,Trolley,CH Proximate,,1.08
Everyone,gemini-2.5-flash,Pooled,CC Proximate,,8.68
Everyone,gemini-2.5-flash,Pooled,CH Distal,8.21,8.26
Everyone,gemini-2.5-flash,Pooled,DIV Distal,7.8,7.93
Everyone,gemini-2.5-flash,Pooled,CC Distal,7.72,7.86
Everyone,gemini-2.5-flash,Pooled,CH Proximate,,1.54
Everyone,gemini-2.5-flash,Firework,CC Proximate,,8.92
Everyone,gemini-2.5-flash,Firework,CH Distal,8.55,8.69
Everyone,gemini-2.5-flash,Firework,DIV Distal,8.14,8.53
Everyone,gemini-2.5-flash,Firework,CC Distal,8.19,8.33
Everyone,gemini-2.5-flash,Firework,CH Proximate,,2.12
Everyone,gemini-2.5-flash,Trolley,CC Proximate,,8.45
Everyone,gemini-2.5-flash,Trolley,CH Distal,8.0,7.87
Everyone,gemini-2.5-flash,Trolley,DIV Distal,7.23,7.38
Everyone,gemini-2.5-flash,Trolley,CC Distal,7.39,7.43
Everyone,gemini-2.5-flash,Trolley,CH Proximate,,1.0
Everyone,gpt-4o,Pooled,CC Proximate,,8.38
Everyone,gpt-4o,Pooled,CH Distal,7.75,7.49
Everyone,gpt-4o,Pooled,DIV Distal,6.96,7.37
Everyone,gpt-4o,Pooled,CC Distal,6.56,6.78
Everyone,gpt-4o,Pooled,CH Proximate,,2.27
Everyone,gpt-4o,Firework,CC Proximate,,9.0
Everyone,gpt-4o,Firework,CH Distal,8.0,8.52
Everyone,gpt-4o,Firework,DIV Distal,7.81,8.56
Everyone,gpt-4o,Firework,CC Distal,7.53,7.79
Everyone,gpt-4o,Firework,CH Proximate,,2.44
Everyone,gpt-4o,Trolley,CC Proximate,,7.7
Everyone,gpt-4o,Trolley,CH Distal,7.47,6.36
Everyone,gpt-4o,Trolley,DIV Distal,5.83,6.07
Everyone,gpt-4o,Trolley,CC Distal,5.71,5.68
Everyone,gpt-4o,Trolley,CH Proximate,,2.09
Everyone,grok-3,Pooled,CC Proximate,,8.11
Everyone,grok-3,Pooled,CH Distal,7.14,7.17
Everyone,grok-3,Pooled,DIV Distal,6.69,7.03
Everyone,grok-3,Pooled,CC Distal,7.0,6.83
Everyone,grok-3,Pooled,CH Proximate,,2.03
Everyone,grok-3,Firework,CC Proximate,,8.83
Everyone,grok-3,Firework,CH Distal,7.24,7.67
Everyone,grok-3,Firework,DIV Distal,7.22,7.83
Everyone,grok-3,Firework,CC Distal,7.0,7.33
Everyone,grok-3,Firework,CH Proximate,,2.96
Everyone,grok-3,Trolley,CC Proximate,,7.31
Everyone,grok-3,Trolley,CH Distal,7.0,6.61
Everyone,grok-3,Trolley,DIV Distal,6.12,6.14
Everyone,grok-3,Trolley,CC Distal,7.0,6.27
Everyone,grok-3,Trolley,CH Proximate,,1.0
