Inclusion,DV,Story Family,Model,Design,Contrast,Estimate,95% CI,p-value
Included,Blame,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.28,"[1.05, 1.51]",1.37e-09
Included,Blame,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.47,"[-0.82, -0.11]",0.0135
Included,Blame,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.88,"[0.72, 1.04]",9.66e-16
Included,Blame,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.2,"[0.09, 0.32]",9.03e-04
Included,Blame,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Blame,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Blame,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-0.67,"[-1.52, 0.19]",0.1019
Included,Blame,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.17,"[-0.60, 0.26]",0.3632
Included,Blame,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Blame,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Included,Blame,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.06,"[0.99, 1.12]",1.57e-36
Included,Blame,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.25,"[0.13, 0.37]",1.40e-04
Included,Wrong,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.28,"[1.05, 1.51]",1.37e-09
Included,Wrong,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.87,"[-1.15, -0.58]",1.40e-05
Included,Wrong,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.83,"[0.66, 1.01]",2.22e-13
Included,Wrong,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.12,"[-0.02, 0.26]",0.0897
Included,Wrong,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Wrong,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Wrong,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-0.67,"[-1.52, 0.19]",0.1019
Included,Wrong,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.17,"[-0.60, 0.26]",0.3632
Included,Wrong,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Wrong,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-1.0,,0.00e+00
Included,Wrong,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.0,"[0.89, 1.11]",1.36e-24
Included,Wrong,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.00, 0.30]",0.0444
Included,Punish,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.78,"[1.13, 2.43]",2.29e-05
Included,Punish,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.4,"[-0.86, 0.06]",0.0824
Included,Punish,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.51,"[0.29, 0.73]",1.90e-05
Included,Punish,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.17,"[0.05, 0.29]",0.0064
Included,Punish,Firework,claude-sonnet-4-6,Between-subj,CH - CC,,,
Included,Punish,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,,,
Included,Punish,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-1.33,"[-2.60, -0.06]",0.0429
Included,Punish,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,0.33,"[-0.75, 1.42]",0.4650
Included,Punish,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Included,Punish,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Included,Punish,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,0.72,"[0.59, 0.84]",7.21e-16
Included,Punish,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.05, 0.25]",0.0037
Included,Blame,Pooled,gemini-2.5-flash,Between-subj,CH - CC,0.59,"[0.33, 0.86]",4.39e-05
Included,Blame,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,0.19,"[-0.14, 0.52]",0.2558
Included,Blame,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.43,"[0.31, 0.56]",4.96e-10
Included,Blame,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,0.01,"[-0.08, 0.11]",0.8200
Included,Blame,Firework,gemini-2.5-flash,Between-subj,CH - CC,0.53,"[0.07, 0.98]",0.0285
Included,Blame,Firework,gemini-2.5-flash,Between-subj,DIV - CC,0.04,"[-0.22, 0.31]",0.7392
Included,Blame,Firework,gemini-2.5-flash,Within-subj,CH - CC,0.44,"[0.22, 0.66]",2.81e-04
Included,Blame,Firework,gemini-2.5-flash,Within-subj,DIV - CC,0.1,"[-0.06, 0.27]",0.2100
Included,Blame,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.61,"[0.36, 0.86]",5.18e-05
Included,Blame,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,-0.16,"[-0.71, 0.39]",0.5456
Included,Blame,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.43,"[0.29, 0.58]",2.99e-07
Included,Blame,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.06,"[-0.17, 0.06]",0.3219
Included,Wrong,Pooled,gemini-2.5-flash,Between-subj,CH - CC,0.81,"[0.49, 1.13]",6.21e-06
Included,Wrong,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,-0.81,"[-1.39, -0.22]",0.0080
Included,Wrong,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.43,"[0.31, 0.56]",1.27e-09
Included,Wrong,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,-0.4,"[-0.64, -0.16]",0.0013
Included,Wrong,Firework,gemini-2.5-flash,Between-subj,CH - CC,0.43,"[-0.06, 0.91]",0.0823
Included,Wrong,Firework,gemini-2.5-flash,Between-subj,DIV - CC,-1.91,"[-2.74, -1.09]",7.21e-05
Included,Wrong,Firework,gemini-2.5-flash,Within-subj,CH - CC,0.41,"[0.19, 0.63]",5.36e-04
Included,Wrong,Firework,gemini-2.5-flash,Within-subj,DIV - CC,-0.87,"[-1.39, -0.35]",0.0017
Included,Wrong,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.96,"[0.68, 1.23]",3.32e-07
Included,Wrong,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,0.03,"[-0.54, 0.61]",0.9040
Included,Wrong,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.45,"[0.29, 0.61]",4.88e-07
Included,Wrong,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.06,"[-0.17, 0.06]",0.3219
Included,Punish,Pooled,gemini-2.5-flash,Between-subj,CH - CC,1.18,"[-0.16, 2.52]",0.0826
Included,Punish,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,1.03,"[-0.16, 2.23]",0.0886
Included,Punish,Pooled,gemini-2.5-flash,Within-subj,CH - CC,1.03,"[0.65, 1.41]",5.04e-07
Included,Punish,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,-0.24,"[-0.56, 0.08]",0.1461
Included,Punish,Firework,gemini-2.5-flash,Between-subj,CH - CC,2.58,"[-0.43, 5.58]",0.0862
Included,Punish,Firework,gemini-2.5-flash,Between-subj,DIV - CC,1.44,"[-0.60, 3.48]",0.1573
Included,Punish,Firework,gemini-2.5-flash,Within-subj,CH - CC,1.67,"[0.84, 2.49]",2.08e-04
Included,Punish,Firework,gemini-2.5-flash,Within-subj,DIV - CC,-0.46,"[-1.21, 0.29]",0.2208
Included,Punish,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.49,"[-0.65, 1.63]",0.3848
Included,Punish,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,-0.78,"[-1.59, 0.04]",0.0603
Included,Punish,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.57,"[0.35, 0.79]",3.77e-06
Included,Punish,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.08,"[-0.23, 0.08]",0.3219
Included,Blame,Pooled,gpt-4o,Between-subj,CH - CC,1.19,"[0.69, 1.69]",2.46e-05
Included,Blame,Pooled,gpt-4o,Between-subj,DIV - CC,0.38,"[-0.33, 1.09]",0.2875
Included,Blame,Pooled,gpt-4o,Within-subj,CH - CC,0.66,"[0.41, 0.90]",9.23e-07
Included,Blame,Pooled,gpt-4o,Within-subj,DIV - CC,0.56,"[0.32, 0.80]",1.54e-05
Included,Blame,Firework,gpt-4o,Between-subj,CH - CC,0.46,"[0.15, 0.78]",0.0075
Included,Blame,Firework,gpt-4o,Between-subj,DIV - CC,0.38,"[0.03, 0.73]",0.0347
Included,Blame,Firework,gpt-4o,Within-subj,CH - CC,0.69,"[0.43, 0.96]",6.49e-06
Included,Blame,Firework,gpt-4o,Within-subj,DIV - CC,0.69,"[0.37, 1.02]",1.02e-04
Included,Blame,Trolley,gpt-4o,Between-subj,CH - CC,1.77,"[1.15, 2.39]",5.61e-06
Included,Blame,Trolley,gpt-4o,Between-subj,DIV - CC,-0.07,"[-0.78, 0.65]",0.8474
Included,Blame,Trolley,gpt-4o,Within-subj,CH - CC,0.62,"[0.19, 1.05]",0.0062
Included,Blame,Trolley,gpt-4o,Within-subj,DIV - CC,0.41,"[0.05, 0.78]",0.0285
Included,Wrong,Pooled,gpt-4o,Between-subj,CH - CC,0.96,"[0.52, 1.41]",7.14e-05
Included,Wrong,Pooled,gpt-4o,Between-subj,DIV - CC,0.49,"[-0.08, 1.06]",0.0930
Included,Wrong,Pooled,gpt-4o,Within-subj,CH - CC,0.54,"[0.32, 0.76]",6.18e-06
Included,Wrong,Pooled,gpt-4o,Within-subj,DIV - CC,0.46,"[0.25, 0.66]",3.42e-05
Included,Wrong,Firework,gpt-4o,Between-subj,CH - CC,0.5,"[0.11, 0.88]",0.0145
Included,Wrong,Firework,gpt-4o,Between-subj,DIV - CC,0.44,"[0.05, 0.82]",0.0293
Included,Wrong,Firework,gpt-4o,Within-subj,CH - CC,0.44,"[0.27, 0.61]",6.64e-06
Included,Wrong,Firework,gpt-4o,Within-subj,DIV - CC,0.42,"[0.18, 0.65]",9.38e-04
Included,Wrong,Trolley,gpt-4o,Between-subj,CH - CC,1.3,"[0.79, 1.81]",3.83e-05
Included,Wrong,Trolley,gpt-4o,Between-subj,DIV - CC,0.2,"[-0.38, 0.78]",0.4795
Included,Wrong,Trolley,gpt-4o,Within-subj,CH - CC,0.65,"[0.22, 1.08]",0.0042
Included,Wrong,Trolley,gpt-4o,Within-subj,DIV - CC,0.5,"[0.14, 0.86]",0.0075
Included,Punish,Pooled,gpt-4o,Between-subj,CH - CC,1.17,"[-0.71, 3.04]",0.2168
Included,Punish,Pooled,gpt-4o,Between-subj,DIV - CC,1.12,"[-1.30, 3.53]",0.3541
Included,Punish,Pooled,gpt-4o,Within-subj,CH - CC,1.73,"[0.85, 2.61]",2.10e-04
Included,Punish,Pooled,gpt-4o,Within-subj,DIV - CC,1.83,"[0.80, 2.85]",6.82e-04
Included,Punish,Firework,gpt-4o,Between-subj,CH - CC,0.56,"[-1.82, 2.94]",0.6299
Included,Punish,Firework,gpt-4o,Between-subj,DIV - CC,1.92,"[-0.67, 4.52]",0.1386
Included,Punish,Firework,gpt-4o,Within-subj,CH - CC,2.61,"[1.02, 4.20]",0.0020
Included,Punish,Firework,gpt-4o,Within-subj,DIV - CC,2.97,"[1.09, 4.86]",0.0029
Included,Punish,Trolley,gpt-4o,Between-subj,CH - CC,1.27,"[-0.61, 3.15]",0.1753
Included,Punish,Trolley,gpt-4o,Between-subj,DIV - CC,-1.09,"[-2.59, 0.41]",0.1457
Included,Punish,Trolley,gpt-4o,Within-subj,CH - CC,0.79,"[0.15, 1.44]",0.0177
Included,Punish,Trolley,gpt-4o,Within-subj,DIV - CC,0.62,"[0.03, 1.21]",0.0404
Included,Blame,Pooled,grok-3,Between-subj,CH - CC,0.06,"[-0.06, 0.17]",0.3313
Included,Blame,Pooled,grok-3,Between-subj,DIV - CC,-0.31,"[-0.55, -0.08]",0.0095
Included,Blame,Pooled,grok-3,Within-subj,CH - CC,0.52,"[0.33, 0.72]",8.89e-07
Included,Blame,Pooled,grok-3,Within-subj,DIV - CC,0.15,"[-0.01, 0.30]",0.0637
Included,Blame,Firework,grok-3,Between-subj,CH - CC,0.25,"[-0.55, 1.05]",0.3910
Included,Blame,Firework,grok-3,Between-subj,DIV - CC,0.22,"[0.01, 0.43]",0.0416
Included,Blame,Firework,grok-3,Within-subj,CH - CC,0.79,"[0.46, 1.12]",2.81e-05
Included,Blame,Firework,grok-3,Within-subj,DIV - CC,0.55,"[0.33, 0.76]",1.58e-05
Included,Blame,Trolley,grok-3,Between-subj,CH - CC,0.0,,
Included,Blame,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Included,Blame,Trolley,grok-3,Within-subj,CH - CC,0.35,"[0.11, 0.59]",0.0053
Included,Blame,Trolley,grok-3,Within-subj,DIV - CC,-0.12,"[-0.30, 0.06]",0.1824
Included,Wrong,Pooled,grok-3,Between-subj,CH - CC,-0.05,"[-0.39, 0.30]",0.7854
Included,Wrong,Pooled,grok-3,Between-subj,DIV - CC,-0.69,"[-0.99, -0.40]",1.35e-05
Included,Wrong,Pooled,grok-3,Within-subj,CH - CC,0.55,"[0.37, 0.73]",6.26e-08
Included,Wrong,Pooled,grok-3,Within-subj,DIV - CC,0.22,"[0.09, 0.35]",0.0016
Included,Wrong,Firework,grok-3,Between-subj,CH - CC,0.25,"[-0.55, 1.05]",0.3910
Included,Wrong,Firework,grok-3,Between-subj,DIV - CC,-0.78,"[-0.99, -0.57]",5.97e-07
Included,Wrong,Firework,grok-3,Within-subj,CH - CC,0.76,"[0.44, 1.08]",3.33e-05
Included,Wrong,Firework,grok-3,Within-subj,DIV - CC,0.52,"[0.30, 0.73]",3.71e-05
Included,Wrong,Trolley,grok-3,Between-subj,CH - CC,0.07,"[-0.08, 0.23]",0.3356
Included,Wrong,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Included,Wrong,Trolley,grok-3,Within-subj,CH - CC,0.41,"[0.19, 0.63]",4.73e-04
Included,Wrong,Trolley,grok-3,Within-subj,DIV - CC,0.02,"[-0.13, 0.17]",0.7847
Included,Punish,Pooled,grok-3,Between-subj,CH - CC,-0.61,"[-1.49, 0.26]",0.1624
Included,Punish,Pooled,grok-3,Between-subj,DIV - CC,0.09,"[-0.67, 0.86]",0.8056
Included,Punish,Pooled,grok-3,Within-subj,CH - CC,0.79,"[0.50, 1.09]",6.68e-07
Included,Punish,Pooled,grok-3,Within-subj,DIV - CC,0.55,"[0.27, 0.83]",2.27e-04
Included,Punish,Firework,grok-3,Between-subj,CH - CC,0.0,,
Included,Punish,Firework,grok-3,Between-subj,DIV - CC,0.0,,
Included,Punish,Firework,grok-3,Within-subj,CH - CC,1.42,"[0.85, 2.00]",1.73e-05
Included,Punish,Firework,grok-3,Within-subj,DIV - CC,1.42,"[0.88, 1.97]",8.14e-06
Included,Punish,Trolley,grok-3,Between-subj,CH - CC,-0.29,"[-0.99, 0.42]",0.4150
Included,Punish,Trolley,grok-3,Between-subj,DIV - CC,-0.5,"[-1.07, 0.07]",0.0827
Included,Punish,Trolley,grok-3,Within-subj,CH - CC,0.37,"[0.11, 0.62]",0.0054
Included,Punish,Trolley,grok-3,Within-subj,DIV - CC,-0.04,"[-0.21, 0.12]",0.6221
