Inclusion,DV,Story Family,Model,Design,Contrast,Estimate,95% CI,p-value
Everyone,Blame,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,0.96,"[0.61, 1.31]",8.01e-07
Everyone,Blame,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.43,"[-0.87, 0.02]",0.0608
Everyone,Blame,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.56,"[0.40, 0.72]",3.86e-10
Everyone,Blame,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.0,"[-0.11, 0.11]",1.0000
Everyone,Blame,Firework,claude-sonnet-4-6,Between-subj,CH - CC,0.0,,
Everyone,Blame,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,-1.0,,0.00e+00
Everyone,Blame,Firework,claude-sonnet-4-6,Within-subj,CH - CC,0.04,"[-0.22, 0.30]",0.7553
Everyone,Blame,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.26,"[-0.42, -0.10]",0.0021
Everyone,Blame,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Everyone,Blame,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Everyone,Blame,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.06,"[0.99, 1.12]",1.57e-36
Everyone,Blame,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.25,"[0.13, 0.37]",1.40e-04
Everyone,Wrong,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,0.96,"[0.61, 1.31]",8.01e-07
Everyone,Wrong,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.63,"[-1.12, -0.15]",0.0118
Everyone,Wrong,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.46,"[0.28, 0.64]",2.41e-06
Everyone,Wrong,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,-0.15,"[-0.29, 0.00]",0.0504
Everyone,Wrong,Firework,claude-sonnet-4-6,Between-subj,CH - CC,0.0,,
Everyone,Wrong,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,-1.0,,0.00e+00
Everyone,Wrong,Firework,claude-sonnet-4-6,Within-subj,CH - CC,-0.12,"[-0.40, 0.16]",0.3919
Everyone,Wrong,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.46,"[-0.69, -0.23]",2.14e-04
Everyone,Wrong,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Everyone,Wrong,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-1.0,,0.00e+00
Everyone,Wrong,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,1.0,"[0.89, 1.11]",1.36e-24
Everyone,Wrong,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.00, 0.30]",0.0444
Everyone,Punish,Pooled,claude-sonnet-4-6,Between-subj,CH - CC,1.57,"[0.81, 2.33]",9.80e-05
Everyone,Punish,Pooled,claude-sonnet-4-6,Between-subj,DIV - CC,-0.47,"[-1.24, 0.29]",0.2233
Everyone,Punish,Pooled,claude-sonnet-4-6,Within-subj,CH - CC,0.45,"[0.22, 0.67]",1.53e-04
Everyone,Punish,Pooled,claude-sonnet-4-6,Within-subj,DIV - CC,0.07,"[-0.08, 0.22]",0.3727
Everyone,Punish,Firework,claude-sonnet-4-6,Between-subj,CH - CC,0.17,"[-0.31, 0.66]",0.4679
Everyone,Punish,Firework,claude-sonnet-4-6,Between-subj,DIV - CC,-1.69,"[-2.15, -1.24]",3.21e-06
Everyone,Punish,Firework,claude-sonnet-4-6,Within-subj,CH - CC,0.16,"[-0.28, 0.60]",0.4670
Everyone,Punish,Firework,claude-sonnet-4-6,Within-subj,DIV - CC,-0.02,"[-0.32, 0.28]",0.8924
Everyone,Punish,Trolley,claude-sonnet-4-6,Between-subj,CH - CC,1.0,,0.00e+00
Everyone,Punish,Trolley,claude-sonnet-4-6,Between-subj,DIV - CC,-0.57,"[-0.87, -0.27]",0.0011
Everyone,Punish,Trolley,claude-sonnet-4-6,Within-subj,CH - CC,0.72,"[0.59, 0.84]",7.21e-16
Everyone,Punish,Trolley,claude-sonnet-4-6,Within-subj,DIV - CC,0.15,"[0.05, 0.25]",0.0037
Everyone,Blame,Pooled,gemini-2.5-flash,Between-subj,CH - CC,0.5,"[0.24, 0.76]",3.12e-04
Everyone,Blame,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,0.08,"[-0.24, 0.40]",0.6091
Everyone,Blame,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.4,"[0.29, 0.52]",3.76e-10
Everyone,Blame,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,0.07,"[-0.03, 0.17]",0.1626
Everyone,Blame,Firework,gemini-2.5-flash,Between-subj,CH - CC,0.36,"[-0.04, 0.75]",0.0717
Everyone,Blame,Firework,gemini-2.5-flash,Between-subj,DIV - CC,-0.05,"[-0.31, 0.21]",0.6867
Everyone,Blame,Firework,gemini-2.5-flash,Within-subj,CH - CC,0.37,"[0.18, 0.55]",1.88e-04
Everyone,Blame,Firework,gemini-2.5-flash,Within-subj,DIV - CC,0.2,"[0.05, 0.36]",0.0109
Everyone,Blame,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.61,"[0.36, 0.86]",5.18e-05
Everyone,Blame,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,-0.16,"[-0.71, 0.39]",0.5456
Everyone,Blame,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.43,"[0.29, 0.58]",2.99e-07
Everyone,Blame,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.06,"[-0.17, 0.06]",0.3219
Everyone,Wrong,Pooled,gemini-2.5-flash,Between-subj,CH - CC,0.68,"[0.37, 0.98]",4.53e-05
Everyone,Wrong,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,-0.91,"[-1.48, -0.34]",0.0024
Everyone,Wrong,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.4,"[0.28, 0.52]",9.44e-10
Everyone,Wrong,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,-0.3,"[-0.53, -0.08]",0.0089
Everyone,Wrong,Firework,gemini-2.5-flash,Between-subj,CH - CC,0.3,"[-0.11, 0.70]",0.1422
Everyone,Wrong,Firework,gemini-2.5-flash,Between-subj,DIV - CC,-1.89,"[-2.68, -1.09]",5.15e-05
Everyone,Wrong,Firework,gemini-2.5-flash,Within-subj,CH - CC,0.35,"[0.17, 0.53]",3.49e-04
Everyone,Wrong,Firework,gemini-2.5-flash,Within-subj,DIV - CC,-0.57,"[-1.02, -0.12]",0.0140
Everyone,Wrong,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.96,"[0.68, 1.23]",3.32e-07
Everyone,Wrong,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,0.03,"[-0.54, 0.61]",0.9040
Everyone,Wrong,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.45,"[0.29, 0.61]",4.88e-07
Everyone,Wrong,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.06,"[-0.17, 0.06]",0.3219
Everyone,Punish,Pooled,gemini-2.5-flash,Between-subj,CH - CC,1.12,"[-0.17, 2.41]",0.0860
Everyone,Punish,Pooled,gemini-2.5-flash,Between-subj,DIV - CC,0.7,"[-0.49, 1.90]",0.2458
Everyone,Punish,Pooled,gemini-2.5-flash,Within-subj,CH - CC,0.99,"[0.64, 1.34]",1.92e-07
Everyone,Punish,Pooled,gemini-2.5-flash,Within-subj,DIV - CC,-0.04,"[-0.37, 0.29]",0.8137
Everyone,Punish,Firework,gemini-2.5-flash,Between-subj,CH - CC,2.18,"[-0.05, 4.40]",0.0544
Everyone,Punish,Firework,gemini-2.5-flash,Between-subj,DIV - CC,0.95,"[-0.85, 2.75]",0.2926
Everyone,Punish,Firework,gemini-2.5-flash,Within-subj,CH - CC,1.45,"[0.77, 2.13]",9.01e-05
Everyone,Punish,Firework,gemini-2.5-flash,Within-subj,DIV - CC,0.0,"[-0.68, 0.68]",1.0000
Everyone,Punish,Trolley,gemini-2.5-flash,Between-subj,CH - CC,0.49,"[-0.65, 1.63]",0.3848
Everyone,Punish,Trolley,gemini-2.5-flash,Between-subj,DIV - CC,-0.78,"[-1.59, 0.04]",0.0603
Everyone,Punish,Trolley,gemini-2.5-flash,Within-subj,CH - CC,0.57,"[0.35, 0.79]",3.77e-06
Everyone,Punish,Trolley,gemini-2.5-flash,Within-subj,DIV - CC,-0.08,"[-0.23, 0.08]",0.3219
Everyone,Blame,Pooled,gpt-4o,Between-subj,CH - CC,1.19,"[0.73, 1.64]",4.80e-06
Everyone,Blame,Pooled,gpt-4o,Between-subj,DIV - CC,0.4,"[-0.21, 1.01]",0.1932
Everyone,Blame,Pooled,gpt-4o,Within-subj,CH - CC,0.71,"[0.50, 0.91]",5.94e-10
Everyone,Blame,Pooled,gpt-4o,Within-subj,DIV - CC,0.59,"[0.37, 0.81]",9.55e-07
Everyone,Blame,Firework,gpt-4o,Between-subj,CH - CC,0.47,"[0.18, 0.75]",0.0035
Everyone,Blame,Firework,gpt-4o,Between-subj,DIV - CC,0.28,"[-0.06, 0.62]",0.1066
Everyone,Blame,Firework,gpt-4o,Within-subj,CH - CC,0.73,"[0.52, 0.94]",1.33e-08
Everyone,Blame,Firework,gpt-4o,Within-subj,DIV - CC,0.77,"[0.48, 1.06]",2.38e-06
Everyone,Blame,Trolley,gpt-4o,Between-subj,CH - CC,1.76,"[1.23, 2.30]",3.62e-07
Everyone,Blame,Trolley,gpt-4o,Between-subj,DIV - CC,0.13,"[-0.55, 0.80]",0.7012
Everyone,Blame,Trolley,gpt-4o,Within-subj,CH - CC,0.68,"[0.32, 1.05]",4.78e-04
Everyone,Blame,Trolley,gpt-4o,Within-subj,DIV - CC,0.39,"[0.04, 0.73]",0.0278
Everyone,Wrong,Pooled,gpt-4o,Between-subj,CH - CC,1.0,"[0.61, 1.39]",5.67e-06
Everyone,Wrong,Pooled,gpt-4o,Between-subj,DIV - CC,0.49,"[-0.01, 0.99]",0.0528
Everyone,Wrong,Pooled,gpt-4o,Within-subj,CH - CC,0.6,"[0.41, 0.79]",1.19e-08
Everyone,Wrong,Pooled,gpt-4o,Within-subj,DIV - CC,0.47,"[0.28, 0.66]",3.51e-06
Everyone,Wrong,Firework,gpt-4o,Between-subj,CH - CC,0.51,"[0.19, 0.82]",0.0029
Everyone,Wrong,Firework,gpt-4o,Between-subj,DIV - CC,0.36,"[0.02, 0.70]",0.0383
Everyone,Wrong,Firework,gpt-4o,Within-subj,CH - CC,0.5,"[0.34, 0.66]",8.01e-08
Everyone,Wrong,Firework,gpt-4o,Within-subj,DIV - CC,0.46,"[0.24, 0.67]",9.24e-05
Everyone,Wrong,Trolley,gpt-4o,Between-subj,CH - CC,1.37,"[0.91, 1.83]",3.08e-06
Everyone,Wrong,Trolley,gpt-4o,Between-subj,DIV - CC,0.32,"[-0.25, 0.89]",0.2639
Everyone,Wrong,Trolley,gpt-4o,Within-subj,CH - CC,0.7,"[0.34, 1.07]",3.14e-04
Everyone,Wrong,Trolley,gpt-4o,Within-subj,DIV - CC,0.48,"[0.15, 0.80]",0.0049
Everyone,Punish,Pooled,gpt-4o,Between-subj,CH - CC,1.56,"[-0.08, 3.21]",0.0619
Everyone,Punish,Pooled,gpt-4o,Between-subj,DIV - CC,0.72,"[-1.35, 2.80]",0.4879
Everyone,Punish,Pooled,gpt-4o,Within-subj,CH - CC,1.85,"[1.12, 2.58]",2.59e-06
Everyone,Punish,Pooled,gpt-4o,Within-subj,DIV - CC,1.95,"[1.08, 2.81]",2.28e-05
Everyone,Punish,Firework,gpt-4o,Between-subj,CH - CC,1.12,"[-0.84, 3.07]",0.2493
Everyone,Punish,Firework,gpt-4o,Between-subj,DIV - CC,1.38,"[-0.93, 3.68]",0.2315
Everyone,Punish,Firework,gpt-4o,Within-subj,CH - CC,2.71,"[1.42, 3.99]",1.05e-04
Everyone,Punish,Firework,gpt-4o,Within-subj,DIV - CC,3.19,"[1.65, 4.73]",1.33e-04
Everyone,Punish,Trolley,gpt-4o,Between-subj,CH - CC,1.45,"[-0.21, 3.12]",0.0838
Everyone,Punish,Trolley,gpt-4o,Between-subj,DIV - CC,-1.25,"[-2.57, 0.08]",0.0637
Everyone,Punish,Trolley,gpt-4o,Within-subj,CH - CC,0.91,"[0.36, 1.46]",0.0017
Everyone,Punish,Trolley,gpt-4o,Within-subj,DIV - CC,0.59,"[0.10, 1.08]",0.0187
Everyone,Blame,Pooled,grok-3,Between-subj,CH - CC,0.14,"[0.02, 0.26]",0.0230
Everyone,Blame,Pooled,grok-3,Between-subj,DIV - CC,-0.31,"[-0.55, -0.08]",0.0095
Everyone,Blame,Pooled,grok-3,Within-subj,CH - CC,0.34,"[0.16, 0.52]",4.17e-04
Everyone,Blame,Pooled,grok-3,Within-subj,DIV - CC,0.2,"[0.07, 0.34]",0.0029
Everyone,Blame,Firework,grok-3,Between-subj,CH - CC,0.24,"[0.04, 0.44]",0.0212
Everyone,Blame,Firework,grok-3,Between-subj,DIV - CC,0.22,"[0.01, 0.43]",0.0416
Everyone,Blame,Firework,grok-3,Within-subj,CH - CC,0.33,"[0.05, 0.62]",0.0230
Everyone,Blame,Firework,grok-3,Within-subj,DIV - CC,0.5,"[0.34, 0.66]",4.25e-08
Everyone,Blame,Trolley,grok-3,Between-subj,CH - CC,0.0,,
Everyone,Blame,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Everyone,Blame,Trolley,grok-3,Within-subj,CH - CC,0.35,"[0.11, 0.59]",0.0053
Everyone,Blame,Trolley,grok-3,Within-subj,DIV - CC,-0.12,"[-0.30, 0.06]",0.1824
Everyone,Wrong,Pooled,grok-3,Between-subj,CH - CC,0.32,"[0.00, 0.63]",0.0482
Everyone,Wrong,Pooled,grok-3,Between-subj,DIV - CC,-0.8,"[-1.10, -0.50]",1.49e-06
Everyone,Wrong,Pooled,grok-3,Within-subj,CH - CC,0.35,"[0.17, 0.53]",1.59e-04
Everyone,Wrong,Pooled,grok-3,Within-subj,DIV - CC,0.25,"[0.14, 0.37]",3.28e-05
Everyone,Wrong,Firework,grok-3,Between-subj,CH - CC,0.22,"[-0.03, 0.47]",0.0796
Everyone,Wrong,Firework,grok-3,Between-subj,DIV - CC,-0.84,"[-1.09, -0.60]",1.22e-07
Everyone,Wrong,Firework,grok-3,Within-subj,CH - CC,0.3,"[0.02, 0.58]",0.0376
Everyone,Wrong,Firework,grok-3,Within-subj,DIV - CC,0.46,"[0.31, 0.62]",2.31e-07
Everyone,Wrong,Trolley,grok-3,Between-subj,CH - CC,0.07,"[-0.08, 0.23]",0.3356
Everyone,Wrong,Trolley,grok-3,Between-subj,DIV - CC,-0.88,"[-1.05, -0.71]",7.62e-09
Everyone,Wrong,Trolley,grok-3,Within-subj,CH - CC,0.41,"[0.19, 0.63]",4.73e-04
Everyone,Wrong,Trolley,grok-3,Within-subj,DIV - CC,0.02,"[-0.13, 0.17]",0.7847
Everyone,Punish,Pooled,grok-3,Between-subj,CH - CC,0.54,"[-0.34, 1.41]",0.2241
Everyone,Punish,Pooled,grok-3,Between-subj,DIV - CC,-0.09,"[-0.83, 0.64]",0.8005
Everyone,Punish,Pooled,grok-3,Within-subj,CH - CC,0.48,"[0.19, 0.76]",0.0011
Everyone,Punish,Pooled,grok-3,Within-subj,DIV - CC,0.75,"[0.49, 1.00]",5.92e-08
Everyone,Punish,Firework,grok-3,Between-subj,CH - CC,0.48,"[-0.21, 1.16]",0.1623
Everyone,Punish,Firework,grok-3,Between-subj,DIV - CC,0.0,,
Everyone,Punish,Firework,grok-3,Within-subj,CH - CC,0.57,"[0.08, 1.07]",0.0234
Everyone,Punish,Firework,grok-3,Within-subj,DIV - CC,1.46,"[1.09, 1.83]",1.45e-10
Everyone,Punish,Trolley,grok-3,Between-subj,CH - CC,-0.29,"[-0.99, 0.42]",0.4150
Everyone,Punish,Trolley,grok-3,Between-subj,DIV - CC,-0.5,"[-1.07, 0.07]",0.0827
Everyone,Punish,Trolley,grok-3,Within-subj,CH - CC,0.37,"[0.11, 0.62]",0.0054
Everyone,Punish,Trolley,grok-3,Within-subj,DIV - CC,-0.04,"[-0.21, 0.12]",0.6221
